Full name,Make,Model,Year,Category,Rating,Price as new (MSRP),Displacement,Engine type,Engine details,Power,Torque,Top speed,1/4 mile (0.4 km),0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Max RPM,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel (mm),Rear suspension,Rear wheel travel (mm),Front tyre,Rear tyre,Front brakes,Front brakes diameter,Rear brakes,Rear brakes diameter,Wheels,Seat,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Front percentage of weight,Rear percentage of weight,Seat height,Alternate seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Oil capacity,Color options,Starter,Instruments,Electrical,Light,Carrying capacity,Factory warranty,Comments,Modifications compared to previous model,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Profilation
BMW K 100 RS,BMW,K 100 RS,1991,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,,225.0 km/h (139.8 mph),,,,,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,120/70-17 ,160/60-18 ,Dual disc,,Single disc,,,,,277.0 kg (610.7 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,BMW,K 100 RS,1990,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,,225.0 km/h (139.8 mph),,,,,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,120/10-17 ,160/60-18 ,Dual disc,,Single disc,,,,,277.0 kg (610.7 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,BMW,K 100 RS,1989,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,222.0 km/h (137.9 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,260.0 kg (573.2 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,BMW,K 100 RS,1988,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,222.0 km/h (137.9 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,260.0 kg (573.2 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,BMW,K 100 RS,1987,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,222.0 km/h (137.9 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,260.0 kg (573.2 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,BMW,K 100 RS,1986,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,222.0 km/h (137.9 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,260.0 kg (573.2 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,BMW,K 100 RS,1985,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,222.0 km/h (137.9 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,260.0 kg (573.2 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,BMW,K 100 RS,1984,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,222.0 km/h (137.9 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,260.0 kg (573.2 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,BMW,K 100 RS,1983,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,222.0 km/h (137.9 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,260.0 kg (573.2 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS ABS,BMW,K 100 RS ABS,1988,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,980.0 ccm (59.80 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 6000 RPM,,,,,8650,10.0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS Motorsport,BMW,K 100 RS Motorsport,1986,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,221.0 km/h (137.3 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,140/80-17 ,Dual disc,,Single disc,,,,,259.0 kg (571.0 pounds),,,,,,,,,,,19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RT,BMW,K 100 RT,1988,Touring," 4.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,206.0 km/h (128.0 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,272.0 kg (599.7 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RT,BMW,K 100 RT,1987,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,206.0 km/h (128.0 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,272.0 kg (599.7 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RT,BMW,K 100 RT,1986,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,206.0 km/h (128.0 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,272.0 kg (599.7 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
